time,open,high,low,close,Volume,Volume MA,Histogram,MACD,Signal,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
1627776000,41461.84,42599,39422.01,39845.44,53953.186326,60492.01550384999,928.6186610702314,1867.2975616221083,938.678900551877,63.30110202961783,57.98565348028653,NaN,NaN
1627862400,39850.27,40480.01,38690,39147.82,50837.351954,60977.565051149984,702.2607441760335,1816.504830771919,1114.2440865958854,60.28822967523516,59.60572924327369,NaN,NaN
1627948800,39146.86,39780,37642.03,38207.05,57117.435853,61494.54566959998,453.37422427099636,1680.961866934631,1227.5876426636346,56.39039160973685,61.18475349831863,NaN,NaN
1628035200,38207.04,39969.66,37508.56,39723.18,52329.35243,61529.03447344998,359.17454175755006,1676.5558198605722,1317.3812781030222,60.79010699624864,62.25219676152715,NaN,NaN
1628121600,39723.17,41350,37332.7,40862.46,84343.755621,63321.22904679998,341.99935711018543,1744.8804744907538,1402.8811173805684,63.749704568058206,63.48693011326815,NaN,NaN
1628208000,40862.46,43392.43,39853.86,42836.87,75753.941347,65408.314007549976,426.51854694248004,1936.0293010586684,1509.5107541161883,68.22583473237141,64.64588642575602,NaN,NaN
1628294400,42836.87,44700,42446.41,44572.54,73396.740808,67281.96523864998,554.1392138547005,2202.184771434564,1648.0455575798635,71.55140739399366,65.87405959644711,NaN,NaN
1628380800,44572.54,45310,43261,43794.37,69329.092698,68381.39644859997,540.3945739729554,2323.5387750460577,1783.1442010731023,68.10955422422637,66.57317212580863,NaN,NaN
1628467200,43794.36,46454.15,42779,46253.4,74587.884845,69059.08823999998,644.1242879942658,2588.2995610659345,1944.1752730716687,72.59564245100745,67.19392342288457,NaN,NaN
1628553600,46248.87,46700,44589.46,45584.99,53814.643421,67610.00715464998,614.9929640961582,2712.916478191866,2097.923514095708,69.72448931002887,67.23023844667075,NaN,NaN
1628640000,45585,46743.47,45341.14,45511,52734.901977,67939.34763184999,540.6468300731985,2773.732051687206,2233.0852216140074,69.39729696725259,67.15843469813623,NaN,NaN
1628726400,45510.67,46218.12,43770,44399,55266.108781,68197.00988959998,374.38265951034055,2701.063546001933,2326.6808864915924,64.49855863434232,66.7378653510888,NaN,NaN
1628812800,44400.06,47886,44217.39,47800,48239.370431,68210.10090424998,446.37770995024675,2884.6530239294007,2438.275313979154,71.19565088500002,66.48179948536965,NaN,NaN
1628899200,47799.99,48144,45971.03,47068.51,46114.359022,68123.17243969999,399.19168211253645,2937.2649166198244,2538.073234507288,68.2150295101193,66.28807135623131,NaN,NaN
1628985600,47068.5,47372.27,45500,46973.82,42110.711334,62606.0823702,319.5080826094277,2937.4583377690724,2617.9502551596447,67.81921971084611,66.61079404774763,NaN,NaN
1629072000,46973.82,48053.83,45660,45901.29,52480.574014,60810.247720149986,160.50109278831542,2818.576621145039,2658.0755283567237,63.33641360950579,66.8285214716241,NaN,NaN
1629158400,45901.3,47160,44376,44695.95,57039.341629,58594.98837954998,-48.73029056977566,2597.162665144504,2645.8929557142797,58.6449076124233,66.98955832895885,NaN,NaN
1629244800,44695.95,46000,44203.28,44705.29,54099.415985,58600.03721464998,-200.8439898591805,2394.837968390304,2595.6819582494845,58.67045470168881,66.83815459363315,NaN,NaN
1629331200,44699.37,47033,43927.7,46760.62,53411.75392,57590.48567039998,-178.15531378128662,2372.9878160228764,2551.143129804163,63.94830944345515,66.8523406561615,NaN,NaN
1629417600,46760.62,49382.99,46622.99,49322.47,56850.352228,58190.51373119998,-14.362298125050984,2533.1902571478495,2547.5525552729005,69.22385984706473,66.92362816435389,NaN,NaN
1629504000,49322.47,49757.04,48222,48821.87,46745.136584,57830.111244099986,33.88021342195634,2589.902822050346,2556.0226086283897,67.15587207614698,66.60966135593627,NaN,NaN
