time,open,high,low,close,Volume,Volume MA,Histogram,MACD,Signal,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Bollinger Bands %B,Bollinger Bands Width,ROC,K,D,RVI,RVI-based MA,Upper Bollinger Band,Lower Bollinger Band
2011-09-27T00:00:00Z,4.85,4.92,4.85,4.92,24.3545,41.43068574450002,NaN,-1.5185135086368033,NaN,29.42585043512183,26.47942648908029,NaN,NaN,0.2846799495819689,0.8999303290998459,0,70.8043056556969,84.32090362847082,49.00368197622077,NaN,NaN,NaN
2011-09-28T00:00:00Z,4.9,4.91,4.82,4.82,83.0533258,41.59535203450002,NaN,-1.475180080817374,NaN,28.90072143284563,26.944918362342808,NaN,NaN,0.2825507479262948,0.8414910921325076,-1.6326530612244912,56.68253992650235,70.13885756049808,44.755159060368555,NaN,NaN,NaN
2011-09-29T00:00:00Z,4.81,4.82,4.81,4.82,46.9645,43.93356578600002,NaN,-1.424418220493691,NaN,28.90072143284563,27.482788345486643,NaN,NaN,0.29213570978195447,0.7398679911308268,-14.840989399293283,58.85972522843334,62.1155236035442,40.608490632830765,NaN,NaN,NaN
2011-10-03T00:00:00Z,4.85,4.87,4.83,4.87,30.57595,44.41236328600002,NaN,-1.3644262419438693,NaN,29.62895443452527,28.123047946086224,NaN,NaN,0.31890475097403204,0.6673796467818417,-13.957597173144876,59.15639309927379,58.23288608473649,46.49864851634366,NaN,NaN,NaN
2011-10-04T00:00:00Z,4.86,5.3,4.8,4.98,142.52162238,51.388444405000016,NaN,-1.2931000337701475,NaN,31.29617643963917,28.868046522645724,NaN,NaN,0.34853374305962115,0.4720643349031295,-12.937062937062926,64.32177885459997,60.779299060769034,51.919472626417985,47.18068783816484,NaN,NaN
2011-10-05T00:00:00Z,4.92,6.25,4.8,4.92,113.72,56.73144440500001,0.23494924278301288,-1.2272678190041812,-1.4622170617871941,30.86660876206558,29.544090333863913,NaN,NaN,0.31566177358911285,0.3308000855087972,-13.986013986013985,68.43542618495803,63.971199379610596,46.71070831254387,46.823605351665016,NaN,NaN
2011-10-06T00:00:00Z,4.88,4.99,4.8,4.8,170.84354937,62.3550527545,0.23275239784272328,-1.1712765644837901,-1.4040289623265134,29.980288255626178,30.161271296837697,NaN,NaN,0.26713440248415216,0.31579558262618534,-15.492957746478872,57.305244014879285,63.35414968481243,42.17847237978199,46.6881535759219,NaN,NaN
2011-10-07T00:00:00Z,4.8,4.81,4.59,4.61,94.64,64.02975357350002,0.2198491006127381,-1.129217586560591,-1.349066687173329,28.580910461953835,30.080937678299193,NaN,NaN,0.1866149118003476,0.32624249356160995,-23.801652892561975,35.85512393292802,53.86526471092177,38.26856944011804,45.757496990794,NaN,NaN
2011-10-08T00:00:00Z,4.57,4.57,3.99,3.99,56,62.822713813500016,0.17296894265571128,-1.13285550885369,-1.3058244515094013,24.55342463823618,29.712926500923718,NaN,NaN,-0.05789032774984289,0.3840496439313815,-16.874999999999993,12.529908998431173,35.23009231541282,35.52409427263157,44.94715515878983,NaN,NaN
2011-10-09T00:00:00Z,3.89,3.89,3.89,3.89,11,61.377013473500014,0.14004123595889872,-1.130772906560778,-1.2708141425196766,23.966799067466084,29.25459126867759,NaN,NaN,-0.017438267635449853,0.4380042475045557,-20.934959349593495,2.9268332775137025,17.103955402957624,31.89114524487752,43.68133098466713,NaN,NaN
